state,value
414,-8.444698969414928
314,-1.7604846861190009
214,-0.009475744784722935
403,-0.43800494079496866
303,6.391753349899253
203,8.197737800112787
103,9.256285281473222
442,2.177367588539568
342,7.829564164916522
422,5.460906805052648
322,9.056249142875918
222,10.166369905754069
242,6.662702320092694
417,10.363290938114007
409,9.259205878187847
317,11.506387978878223
309,8.142329870036386
209,7.1088113632320535
109,5.012152753315984
433,4.749182958062404
333,6.75982858032741
453,-0.11606274286846432
353,-4.022098095095167
233,8.205969993544421
133,6.936741075905484
472,3.644605636902797
372,2.5753364234863656
492,-0.034815052907978934
392,1.5611368134110812
476,4.635639365149066
376,-1.4602993919832647
432,-14.766751122477118
332,-3.7449172686742664
452,-6.975741698691745
352,-5.047419133449465
252,-1.6099737531590146
272,-0.5653956431623182
172,-6.022630287894798
292,0.42938115449889924
444,-0.3138476688019369
424,-5.03003567350732
324,2.5487357745054195
344,1.400487471040427
244,4.671321334552073
144,5.723871979202913
164,6.885512147095796
302,7.839505993696207
402,2.8297266535319894
202,9.326235566535239
142,5.335653817051539
462,-3.962178476981744
482,1.4623221562634792
362,4.559036382240342
382,3.2484755394389087
262,5.69103036001358
162,-0.9288003233768447
62,-20.939159703120335
42,-0.8189058826025043
122,11.420962644436509
428,5.540520251675208
448,6.866166956019454
348,8.048389001993579
328,2.743522084134903
248,9.366202602610038
148,8.158627863436847
431,4.65008801034146
451,3.7150117104465994
331,5.840051349019169
351,2.7035947318661937
251,1.6651228524206656
231,6.925838204263181
384,5.816058769248005
284,7.011871021852422
484,4.091791838092522
464,-3.091813738003695
364,0.30851522653966573
264,5.2338825729647995
466,-7.044987811018468
486,-6.152874328087043
386,3.3382108555638004
366,4.618222187492392
266,6.0353979999272624
286,-0.06851263628145716
186,8.26441532693249
86,9.36263487796502
443,-14.927389526153473
343,3.9747324038052603
423,0.36740388398603663
323,5.793478376524665
243,6.109483326500227
143,3.96054758198348
43,-5.996050347967562
411,10.088597273382215
311,9.056448673646866
419,11.276504823126242
319,12.48091863286096
491,-11.377124255163551
391,-3.6204422961760083
471,-6.454033107891337
371,-4.856995927324109
271,-6.733292410872636
497,15.145104067705242
397,16.310342008376047
477,13.993251373754733
377,11.056125498826997
473,12.732301083766071
373,11.605781829374843
273,10.47049665972586
493,9.997756501758097
393,9.228200092364379
293,9.286887871538301
253,9.313308110132809
468,-2.5100612415775174
488,4.0256431203615355
388,5.51190803568542
288,-2.7065248876489156
188,4.989929156118535
368,6.790202666475041
268,8.051441816600567
168,6.877911317180902
48,6.714182105502649
64,4.231972728389097
184,7.924153316793739
84,9.038677410347468
44,1.4542468215939766
224,3.5462922300838167
426,-10.478692176302237
446,1.7167890772788408
346,3.4201596322964836
326,-3.3546640217929817
246,4.9312037940116475
146,5.473116210444563
46,-2.19114722548581
66,6.654626189160534
166,7.185010211412994
441,-6.354573200992171
341,3.050887060093979
421,-7.695626342269887
321,4.473394741869291
241,4.8682805927186825
221,5.986889012733975
141,1.0648040309212308
41,-4.1594890756945055
413,-9.157019924956721
313,3.017268926349729
213,4.670310888074494
153,0.019247787568923008
173,6.308344378445183
193,8.210446144216776
93,6.9529102632998026
454,-9.808243349019598
354,-1.7831362098165051
434,-5.478765846977877
334,0.4526123893261124
291,-2.6391632281651325
151,0.5580664422148874
171,-0.5492531439217397
131,5.8835068670755595
282,2.3540851463779267
102,12.570082883851475
22,12.057292208901163
2,13.83133830346833
401,-1.8079911445508239
301,5.469537557571014
201,7.020546360252817
73,5.371561168756375
53,2.062109457339913
254,2.520173565955783
154,1.1741745073323122
234,1.4543511508255371
134,0.25138575772989247
114,-5.63569657898103
14,-8.426908633374044
449,2.0255973393570113
429,-3.5951121698780257
329,2.359490298948849
349,3.6952941479019445
219,13.663717549613882
119,9.325427539924158
139,13.806288031225165
239,14.990606135418142
